1730000  9.214286e-001 9.214286e-001 8.490306e-001 7.208530e-001
1740000  9.214286e-001 9.214286e-001 8.490306e-001 7.208530e-001
1750000  9.035714e-001 9.035714e-001 8.164413e-001 6.665764e-001
1760000  9.464286e-001 9.464286e-001 8.957270e-001 8.023269e-001
1770000  9.642857e-001 9.642857e-001 9.298469e-001 8.646153e-001
1780000  8.642857e-001 8.642857e-001 7.469898e-001 5.579938e-001
1790000  9.392857e-001 9.392857e-001 8.822577e-001 7.783786e-001
1800000  8.964286e-001 8.964286e-001 8.035842e-001 6.457475e-001
1810000  8.500000e-001 8.500000e-001 7.225000e-001 5.220062e-001
1820000  8.178571e-001 8.178571e-001 6.688903e-001 4.474142e-001
1830000  8.214286e-001 8.214286e-001 6.747449e-001 4.552807e-001
1840000  7.178571e-001 7.178571e-001 5.153189e-001 2.655535e-001
1850000  8.285714e-001 8.285714e-001 6.865306e-001 4.713243e-001
1860000  8.750000e-001 8.750000e-001 7.656250e-001 5.861816e-001
1870000  9.892857e-001 9.892857e-001 9.786862e-001 9.578267e-001
1880000  9.607143e-001 9.607143e-001 9.229719e-001 8.518772e-001
1890000  1.000000e+000 1.000000e+000 1.000000e+000 1.000000e+000
1900000  9.392857e-001 9.392857e-001 8.822577e-001 7.783786e-001
1910000  9.642857e-001 9.642857e-001 9.298469e-001 8.646153e-001
1920000  9.035714e-001 9.035714e-001 8.164413e-001 6.665764e-001
1930000  8.928571e-001 8.928571e-001 7.971939e-001 6.355181e-001
1940000  9.857143e-001 9.857143e-001 9.716327e-001 9.440700e-001
1950000  9.928571e-001 9.928571e-001 9.857653e-001 9.717332e-001
1960000  9.250000e-001 9.250000e-001 8.556250e-001 7.320941e-001
1970000  9.500000e-001 9.500000e-001 9.025000e-001 8.145062e-001
1980000  9.250000e-001 9.250000e-001 8.556250e-001 7.320941e-001
1990000  9.750000e-001 9.750000e-001 9.506250e-001 9.036879e-001
2000000  9.464286e-001 9.464286e-001 8.957270e-001 8.023269e-001
2010000  9.535714e-001 9.535714e-001 9.092985e-001 8.268237e-001
2020000  9.285714e-001 9.285714e-001 8.622449e-001 7.434663e-001
2030000  9.785714e-001 9.785714e-001 9.576020e-001 9.170017e-001
2040000  9.892857e-001 9.892857e-001 9.786862e-001 9.578267e-001
2050000  9.464286e-001 9.464286e-001 8.957270e-001 8.023269e-001
2060000  8.714286e-001 8.714286e-001 7.593878e-001 5.766698e-001
2070000  8.714286e-001 8.714286e-001 7.593878e-001 5.766698e-001
2080000  8.000000e-001 8.000000e-001 6.400000e-001 4.096000e-001
2090000  9.500000e-001 9.500000e-001 9.025000e-001 8.145062e-001
2100000  9.535714e-001 9.535714e-001 9.092985e-001 8.268237e-001
2110000  9.964286e-001 9.964286e-001 9.928699e-001 9.857906e-001
2120000  9.750000e-001 9.750000e-001 9.506250e-001 9.036879e-001
2130000  9.857143e-001 9.857143e-001 9.716327e-001 9.440700e-001
2140000  1.000000e+000 1.000000e+000 1.000000e+000 1.000000e+000
2150000  9.178571e-001 9.178571e-001 8.424617e-001 7.097418e-001
2160000  9.142857e-001 9.142857e-001 8.359184e-001 6.987595e-001
2170000  9.392857e-001 9.392857e-001 8.822577e-001 7.783786e-001
2180000  9.357143e-001 9.357143e-001 8.755612e-001 7.666075e-001
2190000  9.964286e-001 9.964286e-001 9.928699e-001 9.857906e-001
2200000  9.428571e-001 9.428571e-001 8.889796e-001 7.902847e-001
2210000  9.000000e-001 9.000000e-001 8.100000e-001 6.561000e-001
2220000  8.464286e-001 8.464286e-001 7.164413e-001 5.132882e-001
2230000  8.857143e-001 8.857143e-001 7.844898e-001 6.154242e-001
